sample_id,source,geo_id,H_m,lambda,M_m,q_top_MPa,alpha_E_roof,alpha_c_roof,phi_roof_deg,alpha_t_roof,required_support_pressure_MPa,required_case_id,label_status
stage3_g040,stage3,g040,862.33,1.34419,3.60635,18.6559,0.692359,0.639774,28.5376,0.869221,0.8,s3_g040_p02,labeled
stage3_g041,stage3,g041,1059.86,1.42002,3.11416,23.3965,1.28843,1.36658,39.7903,0.850884,0.5,s3_g041_p01,labeled
stage3_g042,stage3,g042,1044.91,1.1958,4.29799,23.0379,1.37611,0.944229,29.0343,0.940753,1.4,s3_g042_p04,labeled
stage3_g043,stage3,g043,907.113,0.931443,5.0442,19.7307,0.909413,0.659535,38.5917,1.19573,1.1,s3_g043_p03,labeled
stage3_g044,stage3,g044,994.64,1.00651,5.81335,21.8314,0.613579,1.09855,32.815,0.645369,0.8,s3_g044_p02,labeled
stage3_g045,stage3,g045,1160.36,1.01699,3.86206,25.8086,1.02632,1.25793,30.8884,0.74167,1.4,s3_g045_p04,labeled
stage3_g046,stage3,g046,952.849,1.12117,5.08231,20.8284,1.05016,1.02179,31.9541,0.659019,0.8,s3_g046_p02,labeled
stage3_g047,stage3,g047,983.282,1.20546,5.60611,21.5588,0.752757,0.683572,25.8568,0.593353,2,s3_g047_p06,labeled
stage3_g048,stage3,g048,1107.98,0.944452,5.41297,24.5515,1.24982,0.88829,29.8767,1.02996,2.6,s3_g048_p08,labeled
stage3_g049,stage3,g049,1076.53,1.36631,3.65897,23.7968,1.08809,1.15296,30.5858,1.24562,0.8,s3_g049_p02,labeled
stage3_g050,stage3,g050,1134.81,1.0987,4.45005,25.1955,1.21699,1.24721,37.4702,0.900221,0.8,s3_g050_p02,labeled
stage3_g051,stage3,g051,1101.61,0.987588,3.81847,24.3987,0.903401,0.835541,33.0863,0.786255,2,s3_g051_p06,labeled
stage3_g052,stage3,g052,847.988,0.868745,4.0979,18.3117,1.21154,1.00013,32.6199,0.543843,0.5,s3_g052_p01,labeled
stage3_g053,stage3,g053,856.947,0.97572,4.94429,18.5267,0.924332,1.20085,32.111,0.613938,0.5,s3_g053_p01,labeled
stage3_g054,stage3,g054,1001.9,1.03561,3.52221,22.0055,1.1781,0.821618,26.266,1.08916,1.7,s3_g054_p05,labeled
stage3_g055,stage3,g055,895.235,0.809473,5.48876,19.4456,0.723176,1.27556,26.9442,0.937432,1.4,s3_g055_p04,labeled
stage3_g056,stage3,g056,867.639,0.885354,5.74213,18.7833,0.694002,0.67687,27.5985,0.885703,1.7,s3_g056_p05,labeled
stage3_g057,stage3,g057,877.35,1.17125,4.12085,19.0164,1.36955,0.915352,31.0074,0.536925,0.5,s3_g057_p01,labeled
stage3_g058,stage3,g058,1114.94,1.21594,5.87855,24.7187,1.06668,0.80785,36.5473,1.0406,1.4,s3_g058_p04,labeled
stage3_g059,stage3,g059,1007.23,1.17772,3.41903,22.1334,0.639046,1.18031,35.886,1.16946,0.5,s3_g059_p01,labeled
